time,original,filtered,fitted
0.325,1.54506,1.64847,2.49119
0.326,1.92386,1.72287,2.49125
0.327,1.74269,1.72822,2.49132
0.328,1.48148,1.66156,2.49138
0.329,1.46222,1.60771,2.49144
0.33,1.78559,1.65576,2.49151
0.331,1.97625,1.74235,2.49157
0.332,1.83403,1.76711,2.49164
0.333,1.88323,1.79848,2.4917
0.334,1.54775,1.73075,2.49176
0.335,2.02361,1.80986,2.49183
0.336,1.93818,1.84453,2.49189
0.337,1.59907,1.77822,2.49196
0.338,1.44068,1.68703,2.49202
0.339,1.97767,1.76555,2.49208
0.34,1.71256,1.75123,2.49215
0.341,1.72421,1.74393,2.49221
0.342,1.4048,1.65232,2.49227
0.343,1.27284,1.5498,2.49234
0.344,2.0338,1.68055,2.4924
0.345,1.91076,1.74274,2.49247
0.346,1.71457,1.73513,2.49253
0.347,1.73482,1.73505,2.49259
0.348,2.27413,1.88068,2.49266
0.349,1.58899,1.80188,2.49272
0.35,1.84484,1.81349,2.49278
0.351,1.71561,1.78704,2.49285
0.352,1.73504,1.773,2.49291
0.353,1.33596,1.65493,2.49298
0.354,2.16262,1.79209,2.49304
0.355,1.65924,1.7562,2.4931
0.356,1.57641,1.70762,2.49317
0.357,1.80971,1.7352,2.49323
0.358,2.22573,1.86772,2.49329
0.359,1.69125,1.82005,2.49336
0.36,1.55253,1.74778,2.49342
0.361,1.64487,1.71998,2.49349
0.362,1.87228,1.76112,2.49355
0.363,1.6621,1.73437,2.49361
0.364,1.47096,1.66321,2.49368
0.365,1.61052,1.64897,2.49374
0.366,1.28241,1.54994,2.49381
0.367,1.73669,1.6004,2.49387
0.368,1.66908,1.61895,2.49393
0.369,2.03328,1.73089,2.494
0.37,1.50267,1.66923,2.49406
0.371,1.31403,1.57327,2.49412
0.372,1.6662,1.59838,2.49419
0.373,1.38542,1.54085,2.49425
0.374,1.70249,1.58451,2.49432
0.375,1.50756,1.56372,2.49438
0.376,1.82772,1.63504,2.49444
0.377,1.8706,1.69868,2.49451
0.378,1.35928,1.60699,2.49457
0.379,1.60605,1.60674,2.49463
0.38,1.51092,1.58085,2.4947
0.381,1.5591,1.57498,2.49476
0.382,1.55935,1.57075,2.49483
0.383,1.23037,1.4788,2.49489
0.384,1.51479,1.48852,2.49495
0.385,1.51912,1.49679,2.49502
0.386,1.41078,1.47355,2.49508
0.387,1.67096,1.52688,2.49514
0.388,1.59643,1.54567,2.49521
0.389,1.62964,1.56835,2.49527
0.39,1.39472,1.52145,2.49534
0.391,1.50341,1.51657,2.4954
0.392,1.77312,1.58588,2.49546
0.393,1.63464,1.59905,2.49553
0.394,1.54746,1.58512,2.49559
0.395,1.60461,1.59038,2.49566
0.396,1.51069,1.56885,2.49572
0.397,1.68111,1.59918,2.49578
